band_name,founded,founded_city,founded_country,iso_code,genre,num_members
The Beatles,1957,Liverpool,England,GBR,Pop Rock,4
TTNG,2004,Oxford,England,GBR,Math Rock,3
Shakey Graves,2007,"Austin, TX",United States,USA,Indie Folk,1
Childish Gambino,2011,"Edwards, CA",United States,USA,Hip Hop,1
Frightened Rabbit,2003,Selkirk,Scotland,GBR,Indie Rock,5
Dave Matthews Band,1991,"Charlottesville, VA",United States,USA,Alternative Rock,7
Nirvana,1987,"Aberdeen, WA",United States,USA,Grunge,3
Foo Fighters,1994,"Seattle, WA",United States,USA,Rock,5
The National,1999,"Cincinnati, OH",United States,USA,Indie Rock,5
Balmorhea,2006,"Austin, TX",United States,USA,Post Rock,2
Bon Iver,2006,"Eau Claire, WI",United States,USA,Indie Folk,3
Still Woozy,2018,"Oakland, California",United States,USA,Indie Pop,1
Olafur Arnalds,,Mosfellsbær,Iceland,ISL,Contemporary Classical,1
Otis Redding,,"Dawson, GA",United States,USA,Soul,1
Joanna Newsom,,"Nevada City, CA",United States,USA,Contemporary Classical,1
Paul McCartney,,Liverpool,England,GBR,Rock,1
George Harrison,,Liverpool,England,GBR,Rock,1
Amy Winehouse,,Enfield,England,GBR,Jazz,1
Ludovico Einaudi,,Turin,Italy,ITA,Contemporary Classical,1
Marvin Gaye,,"Washington, DC",United States,USA,Soul,1
Tom Misch,,London,England,GBR,Blues,1
Lianne La Havas,,London,England,GBR,Soul,1
Jimi Hendrix Experience,1966,London,England,GBR,Rock,3
Aisha Burns,,"San Antonio, TX",United States,USA,Instrumental,1
Queens of the Stoneage,1996,"Palm Desert, CA",United States,USA,Rock,5
Tenacious D,1994,"Los Angeles, CA",United States,USA,Rock,2
Wings,1971,London,England,GBR,Rock,5
Coheed and Cambria,1995,"Nyack, NY",United States,USA,Progressive Rock,4
Bruno Mars,,"Honolulu, HI",United States,USA,Pop Rock,1
Adele,,London,England,GBR,Pop Rock,1
Beyonce,,"Houston, TX",United States,USA,R&B,1
Sofi Tukker,2014,"Providence, RI",United States,USA,House,2
Destiny's Child,1990,"Houston, TX",United States,USA,R&B,3
Jamila Woods,2016,"Chicago, IL",United States,USA,R&B,1
Sigur Ros,1994,Reykjavík,Iceland,ISL,Post Rock,2
U2,1976,Dublin,Ireland,IRL,Rock,4
Bob Marley and the Wailers,1976,Kingston,Jamaica,JAM,Reggae,19
AC/DC,1973,Sydney,Australia,AUS,Rock,5
ABBA,1972,Stockholm,Sweden,SWE,Pop,4
The Notwist,1989,Weilhelm in Oberbayern,Germany,DEU,Indie Rock,3
Gotye,2001,Bruges,Belgium,BEL,Indie Rock,1
Hania Rani,,Gdansk,Poland,POL,Contemporary Classical,1
Totorro,2008,Rennes,France,FRA,Math Rock,4
Crystal Castles,2006,Toronto,Canada,CAN,Electronic,2
Toe,2000,Tokyo,Japan,JPN,Post Rock,4
Tricot,2010,Kyoto,Japan,JPN,Math Rock,4
Rationale,2009,Highfield,Zimbabwe,ZWE,Indie Pop,1
Rodrigo y Gabriela,2000,Mexico City,Mexico,MEX,Flamenco Nuevo,2
DakhaBrakha,2004,Kyiv,Ukraine,UKR,Folk,4